time,qpos,qpos,qvel,qvel,ctrl,snsr,snsr,snsr,est_p,est_p,est_v,est_v,est_c,est_s,est_s,est_s,stddev_p,stddev_p,stddev_v,stddev_v,stddev_c,stddev_s,stddev_s,stddev_s,
0.07375,-0.0270354,0,-0.718489,0,0,0,0,-0.0270354,-0.0261373,-1.38755e-15,-0.718714,1.42101e-13,0,-2.21371e-15,0,-0.0261526,1,1,58.9367,58.896,0,1.00009,1e-07,1.00007,
0.075,-0.0279486,0,-0.730493,0,0,0,0,-0.0279486,-0.0270354,2.82267e-15,-0.730726,1.99495e-13,0,-1.20992e-15,0,-0.0270507,1,1,59.9327,59.8905,0,1.00009,1e-07,1.00007,
0.07625,-0.0288767,0,-0.742489,0,0,0,0,-0.0288767,-0.0279486,6.81148e-16,-0.74273,2.26729e-13,0,3.07204e-15,0,-0.0279638,1,1,60.9285,60.8849,0,1.00009,1e-07,1.00007,
0.0775,-0.0298198,0,-0.754476,0,0,0,0,-0.0298198,-0.0288767,-2.9383e-16,-0.754724,2.56333e-13,0,9.64559e-16,0,-0.028892,1,1,61.9241,61.8791,0,1.0001,1e-07,1.00007,
0.07875,-0.0307778,0,-0.766453,0,0,0,0,-0.0307778,-0.0298198,2.87858e-15,-0.76671,2.84839e-13,0,2.65859e-17,0,-0.0298351,1,1,62.9196,62.8732,0,1.0001,1e-07,1.00007,
0.08,-0.0317509,0,-0.778422,0,0,0,0,-0.0317509,-0.0307778,1.47331e-15,-0.778687,2.27119e-13,0,3.23463e-15,0,-0.0307931,1,1,63.9149,63.867,0,1.0001,1e-07,1.00007,
0.08125,-0.0327388,0,-0.790381,0,0,0,0,-0.0327388,-0.0317509,-9.10121e-16,-0.790654,2.5584e-13,0,1.7572e-15,0,-0.0317661,1,1,64.9101,64.8606,0,1.0001,1e-07,1.00008,
0.0825,-0.0337417,0,-0.802331,0,0,0,0,-0.0337417,-0.0327388,-3.25161e-16,-0.802612,2.83862e-13,0,-5.90321e-16,0,-0.0327541,1,1,65.905,65.854,0,1.0001,1e-07,1.00008,
0.08375,-0.0347596,0,-0.814271,0,0,0,0,-0.0347596,-0.0337417,5.73661e-16,-0.814561,2.27681e-13,0,2.96672e-17,0,-0.033757,1,1,66.8998,66.8473,0,1.0001,1e-07,1.00008,
0.085,-0.0357923,0,-0.826202,0,0,0,0,-0.0357923,-0.0347596,1.72052e-15,-0.8265,2.55967e-13,0,8.58263e-16,0,-0.0347749,1,1,67.8944,67.8403,0,1.0001,1e-07,1.00008,
